編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLLJNHKFFAP38CA,14,293.99,住商用,鋼筋混凝土造,90年5月10日,004,一層 二層 三層 四層 地下層
RPQNMLLJNHKFFAP38CA,14,30.24,共同部份,鋼筋混凝土造,90年5月10日,005
RPQOMLKKMHKFFAP38CA,,234.95,住家用,鋼筋混凝土造,103年10月21日,004,一層 二層 三層 四層
RPSNMLQJMHKFFAP98CA,18,48.31,住家用,鋼筋混凝土造,86年5月15日,016,六層
RPSNMLQJMHKFFAP98CA,18,7.74,共有部份,鋼筋混凝土造,86年5月15日,016
RPSNMLQJMHKFFAP98CA,18,15.53,共有部份,鋼筋混凝土造,86年5月15日,016
RPPNMLQLLHKFFBP88CA,33,116.24,住商用,加強磚造,71年3月19日,002,一層 二層 騎樓 電梯樓梯間
RPSNMLQLLHKFFBP56CA,8,192.84,見其他登記事項,鋼筋混凝土造,96年5月30日,003,一層 二層 三層 騎樓 電梯樓梯間 停車場
RPQNMLOLLHKFFCP88CA,26,187.55,住家用,見其他登記事項,77年12月14日,003,三層 騎樓 一層 二層 電梯樓梯間
RPRNMLPLLHKFFDP56CA,8,69.51,見其他登記事項,鋼筋混凝土造,96年2月5日,011,六層
RPRNMLPLLHKFFDP56CA,8,52.66,見其他登記事項,鋼筋混凝土造,96年2月5日,013
RPWNMLKMLHKFFDP66CA,15,2966.98,見其他登記事項,見其他登記事項,89年7月28日,001,一層
RPQNMLPKMHKFFDP09CA,19,91.93,住家用,鋼筋混凝土造,85年3月9日,013,十三層
RPQNMLPKMHKFFDP09CA,19,10.55,共有部份,鋼筋混凝土造,85年3月9日,013
RPQNMLPKMHKFFDP09CA,19,12.13,共有部份,鋼筋混凝土造,85年3月9日,013
RPSNMLMLMHKFFDP09CA,31,176.16,住商用,加強磚造,72年9月29日,003,一層 二層 三層 騎樓 電梯樓梯間
RPXNMLLJMHKFFEP76CA,20,147.24,住家用,鋼筋混凝土造,84年8月17日,005,一層 二層 三層 四層 五層 騎樓 電梯樓梯間
RPWNMLKLMHKFFDP66CA,9,199.48,住家用,鋼筋混凝土造,95年8月17日,004,一層 二層 三層 四層
RPPOMLKLMHKFFDP68CA,35,122.64,住商用,加強磚造,68年11月7日,002,一層 二層 騎樓
RPXNMLKLMHKFFEP86CA,38,77.82,住商用,加強磚造,66年6月11日,002,一層 二層
RPPNMLRLLHKFFFP76CA,16,54.42,住家用,鋼筋混凝土造,88年1月13日,008,一層
RPPNMLRLLHKFFFP76CA,16,6.95,見其他登記事項,鋼筋混凝土造,88年1月13日,008
RPPNMLRLLHKFFFP76CA,16,5.79,見其他登記事項,鋼筋混凝土造,88年1月13日,008
RPQNMLOLLHKFFAP78DA,40,129.47,住商用,加強磚造,63年9月24日,003,一層 二層 三層 騎樓
