鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
信義區,房地(土地+建物)+車位,基隆市信義區深澳坑路1~30號,21.48,住,,,10402,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830202,152.85,3,2,2,有,有,4800000,31403,升降平面,0.0,0,,RPWNMLKMLHKFFBC77CA
信義區,房地(土地+建物)+車位,基隆市信義區教忠街100巷1~30號,139.6,住,,,10403,土地1建物1車位2,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1040107,357.51,5,2,6,有,無,26279000,73506,其他,0.0,0,買受人有2人,RPROMLMJMHKFFBC37CA
信義區,房地(土地+建物),基隆市信義區深澳坑路168巷50弄31~60號,18.94,住,,,10402,土地1建物1車位0,四層，夾層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840610,65.31,3,2,2,有,無,1700000,26030,,0.0,0,,RPSNMLTJMHKFFBC08CA
信義區,房地(土地+建物),基隆市信義區東明路91~120號,22.2,商,,,10402,土地2建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710609,88.52,3,2,2,有,無,3500000,39539,,0.0,0,,RPTNMLPLLHKFFBC87CA
中正區,房地(土地+建物),基隆市中正區新豐街271~300號,18.95,住,,,10402,土地1建物1車位0,九層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,97.58000000000001,3,2,2,有,有,3600000,36893,,0.0,0,,RPUNMLPLLHKFFBC97CA
中正區,房地(土地+建物),基隆市中正區新豐街451~480號,6.79,其他,,,10402,土地3建物1車位0,九層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861121,39.61,1,1,1,有,有,1750000,44181,,0.0,0,,RPPNMLSLLHKFFBC77CA
信義區,房地(土地+建物),基隆市信義區教忠街119巷1~30號,100.06,住,,,10403,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0960410,192.3,4,3,3,有,無,10600000,55122,,0.0,0,含增建或未登記建物。,RPQNMLNLLHKFFBC37CA
中正區,車位,基隆市中正區觀海街61~90號,0.0,,,,10402,土地0建物0車位1,,,其他,,,,45.95,0,0,0,有,有,400000,,坡道平面,45.95,400000,,RPTNMLNLLHKFFBC67CA
仁愛區,房地(土地+建物),基隆市仁愛區南榮路1~30號,8.0,商,,,10403,土地2建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841014,44.42,0,1,1,有,無,2200000,49527,,0.0,0,含增建或未登記建物。,RPPNMLOLLHKFFBC37CA
七堵區,房地(土地+建物)+車位,基隆市七堵區大華一路121~150號,45.02,住,,,10403,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010613,164.44,3,2,2,有,有,8950000,56128,坡道平面,22.8,1000000,,RPRNMLNLLHKFFCC57CA
