編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPLLHKFFCT66CA,33,102.86,住商用,鋼筋混凝土造,70年11月26日,004,一層 二層 三層 四層 騎樓
RPUNMLPLLHKFFCT17CA,39,79.60,住家用,加強磚造,65年3月4日,002,一層 二層
RPTOMLKMLHKFFCT76CA,25,208.38,住家用,鋼筋混凝土造,79年8月17日,003,一層 二層 三層
RPQNMLQLLHKFFDT96CA,3,266.92,工業用,鋼筋混凝土構造,100年10月17日,002,一層 二層
RPTNMLLJMHKFFDT66CA,27,148.38,店舖、住宅,鋼筋混凝土造,77年3月10日,003,一層 二層 三層
RPVNMLRJMHKFFDT47CA,1,194.30,住家用,鋼筋混凝土構造,103年5月9日,003,一層 二層 三層
RPVNMLTJMHKFFET77CA,19,26.69,住家用,鋼筋混凝土造,85年6月19日,003,三層
RPVNMLTJMHKFFET77CA,19,8.42,共用部分,鋼筋混凝土造,85年6月19日,003
RPWNMLTJMHKFFET87CA,19,28.13,住家用,鋼筋混凝土造,85年6月19日,003,三層
RPWNMLTJMHKFFET87CA,19,8.42,共用部分,鋼筋混凝土造,85年6月19日,003
RPRNMLPKMHKFFDT96CA,,158.62,住宅,見其他登記事項,,001,一層 騎樓
RPTNMLPLLHKFFBT07DA,20,173.24,住商用,鋼筋混凝土造,84年5月4日,003,二層 三層 一層
RPQOMLQLLHKFFAT86DA,15,67.06,見其他登記事項,鋼筋混凝土造,88年12月4日,014,六層
RPQOMLQLLHKFFAT86DA,15,20.17,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPSOMLKMLHKFFAT56DA,,71.28,住家用,鋼筋混凝土加強磚造,,002,一層 二層
RPQNMLMLMHKFFAT09DA,14,36.70,住家用,鋼筋混凝土造,89年12月28日,004,一層 二層 三層 四層
RPUNMLLJMHKFFCT66CA,,217.65,見其他登記事項,見其他登記事項,103年12月11日,003,一層 二層 三層 見其他登記事項
RPVNMLLJMHKFFCT76CA,,217.56,見其他登記事項,見其他登記事項,103年12月11日,003,一層 二層 三層 見其他登記事項
RPSNMLLJMHKFFCT09CA,,245.87,見其他登記事項,見其他登記事項,103年12月11日,003,一層 二層 三層 見其他登記事項
RPSNMLQLLHKFFCT07CA,1,256.23,住家用,見其他登記事項,103年8月28日,003,一層 二層 三層
RPVNMLSJMHKFFCT47CA,12,170.94,住家用,鋼筋混凝土造,92年3月14日,003,一層 二層 三層
RPVNMLRKMHKFFCT47CA,14,172.70,住家用,鋼筋混凝土造,89年10月2日,003,一層 二層 三層
RPTNMLOKMHKFFCT96CA,21,95.31,住家用,鋼筋混凝土造,83年8月12日,007,四層
RPTNMLOKMHKFFCT96CA,21,56.33,見其他登記事項,鋼筋混凝土造,83年8月12日,007
RPOOMLPLLHKFFAT09CA,15,126.61,見其他登記事項,鋼筋混凝土造,88年12月4日,014,八層
RPOOMLPLLHKFFAT09CA,15,36.49,見其他登記事項,鋼筋混凝土造,88年12月4日,014
RPWNMLPLLHKFFAT17CA,21,85.18,住家用,鋼筋混凝土造,83年5月16日,006,六層
