編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUPMLRKMHKFFAU47CA,38,78.94,住商用,鋼筋混凝土加強磚造,66年4月1日,002,二層 騎樓 一層
RPTOMLRLMHKFFAU37CA,22,105.29,住家用,鋼筋混凝土造,82年7月20日,008,八層
RPTOMLRLMHKFFAU37CA,22,37.44,共有部份,鋼筋混凝土造,82年7月20日,008
RPTPMLOKMHKFFAU07CA,43,71.34,住家用,鋼筋混凝土加強磚造,61年2月11日,002,一層 二層
RPWOMLOKMHKFFAU27CA,19,76.25,住家用,鋼筋混凝土造,85年6月25日,008,六層
RPWOMLOKMHKFFAU27CA,19,17.39,共有部份,鋼筋混凝土造,85年6月25日,008
RPWOMLOKMHKFFAU27CA,19,30.48,共有部份,鋼筋混凝土造,85年6月25日,008
RPWOMLOKMHKFFAU27CA,19,14.13,見其他登記事項,鋼筋混凝土造,85年6月25日,008,地下一層
RPRPMLNKMHKFFAU76CA,21,107.56,住家用,鋼筋混凝土造,82年12月15日,006,三層
RPRPMLNKMHKFFAU76CA,21,37.26,共有部份,鋼筋混凝土造,82年12月15日,006
RPUNMLNKMHKFFAU86CA,36,116.44,住商用,鋼筋混凝土加強磚造,68年4月17日,002,一層 二層 屋頂突出物 騎樓
RPWNMLNKMHKFFAU07CA,22,21.88,住家用,鋼筋混凝土造,82年6月22日,007,三層
RPWNMLNKMHKFFAU07CA,22,8.90,共有部份,鋼筋混凝土造,82年6月22日,007
RPQNMLLMLHKFFCU56CA,33,132.78,住家用,鋼筋混凝土加強磚造,70年12月28日,002,一層 二層
RPRPMLSLMHKFFAU57EA,37,31.28,住商用,鋼筋混凝土加強磚造,67年3月22日,002,一層 二層
RPWNMLMJMHKFFAU07EA,13,179.92,住家用,鋼筋混凝土造,91年5月20日,003,一層 二層 三層 屋頂突出物
RPXOMLLMLHKFFAU37EA,19,55.78,住家用,鋼筋混凝土造,84年11月4日,010,七層
RPXOMLLMLHKFFAU37EA,19,9.82,共有部份,鋼筋混凝土造,84年11月4日,010
RPXOMLLMLHKFFAU37EA,19,12.25,共有部份,鋼筋混凝土造,84年11月4日,010
RPTPMLLMLHKFFAU07EA,20,22.80,住家用,鋼筋混凝土造,84年9月19日,006,四層
RPTPMLLMLHKFFAU07EA,20,9.54,共有部份,鋼筋混凝土造,84年9月19日,006
RPVNMLMJMHKFFBU86CA,33,186.60,住商用,鋼筋混凝土造,70年10月22日,003,一層 二層 三層 騎樓
RPSNMLKKMHKFFAU98CA,12,100.43,住家用,鋼筋混凝土造,91年11月21日,011,十層
RPSNMLKKMHKFFAU98CA,12,66.82,共有部份,鋼筋混凝土造,91年11月21日,011
RPUPMLQKMHKFFAU37CA,18,48.01,住家用,鋼筋混凝土造,85年10月29日,016,三層
RPUPMLQKMHKFFAU37CA,18,8.46,共有部份,鋼筋混凝土造,85年10月29日,016
RPUPMLQKMHKFFAU37CA,18,13.21,共有部份,鋼筋混凝土造,85年10月29日,016
RPXOMLQKMHKFFAU57CA,33,236.59,住商用,鋼筋混凝土造,70年12月23日,004,二層 三層 四層 屋頂突出物 騎樓 一層
RPTNMLOLMHKFFAU96CA,18,57.42,住商用,鋼筋混凝土造,86年2月24日,010,九層
RPTNMLOLMHKFFAU96CA,18,13.63,共有部份,鋼筋混凝土造,86年2月24日,010
RPPNMLQLMHKFFAU76CA,15,83.41,住家用,鋼筋混凝土造,89年8月7日,015,十一層
RPPNMLQLMHKFFAU76CA,15,21.75,共有部份,鋼筋混凝土造,89年8月7日,015
RPPNMLQLMHKFFAU76CA,15,.72,共有部份,鋼筋混凝土造,89年8月7日,015
RPPNMLQLMHKFFAU76CA,15,16.06,共有部份,鋼筋混凝土造,89年8月7日,015
RPROMLLLMHKFFAU56CA,20,23.21,住家用,鋼筋混凝土造,83年11月15日,012,七層
RPROMLLLMHKFFAU56CA,20,3.78,共有部份,鋼筋混凝土造,83年11月15日,012
RPROMLLLMHKFFAU56CA,20,7.22,共有部份,鋼筋混凝土造,83年11月15日,012
RPVNMLLJMHKFFAU66CA,23,66.36,住家用,鋼筋混凝土造,81年1月21日,006,四層
RPVNMLLJMHKFFAU66CA,23,33.97,共有部份,鋼筋混凝土造,81年1月21日,006
RPWNMLLJMHKFFAU76CA,15,17.80,住家用,鋼筋混凝土造,88年11月25日,006,四層
RPXNMLLJMHKFFAU86CA,10,195.13,住家用,鋼筋混凝土造,94年1月24日,003,一層 二層 三層
RPTOMLRJMHKFFAU17CA,22,32.76,住家用,鋼筋混凝土造,81年10月9日,012,六層
RPTOMLRJMHKFFAU17CA,22,12.33,共有部份,鋼筋混凝土造,81年10月9日,012
RPPOMLRJMHKFFAU76CA,16,13.40,停車空間,鋼筋混凝土造,88年5月20日,005
RPPOMLRJMHKFFAU76CA,16,102.98,住家用,鋼筋混凝土造,88年5月20日,005,二層 三層
RPPOMLRJMHKFFAU76CA,16,22.58,共有部份,鋼筋混凝土造,88年5月20日,005
RPVNMLLMLHKFFAU86CA,22,90.58,住家用,鋼筋混凝土造,82年6月22日,005,五層
RPVNMLLMLHKFFAU86CA,22,19.66,共有部份,鋼筋混凝土造,82年6月22日,005
RPQNMLKMLHKFFCU66EA,39,196.44,住商用,鋼筋混凝土加強磚造,65年8月20日,002,一層 二層 騎樓
RPQNMLLJMHKFFBU09EA,28,120.12,住商用,鋼筋混凝土加強磚造,75年10月20日,002,一層 二層
RPRNMLRLMHKFFCU47EA,31,98.00,住家用,鋼筋混凝土加強磚造,73年7月1日,001,一層
RPXOMLRJMHKFFAU57CA,9,191.18,住家用,鋼筋混凝土造,95年2月7日,003,一層 二層 三層 屋頂突出物
RPWOMLLJMHKFFAU86CA,31,83.57,住家用,鋼筋混凝土造,73年6月25日,005,四層
RPWOMLLJMHKFFAU86CA,31,5.70,共有部份,鋼筋混凝土造,73年6月25日,005
RPWOMLLJMHKFFAU86CA,31,8.00,共有部份,鋼筋混凝土造,73年6月25日,005
RPOPMLRKMHKFFAU86CA,25,22.82,住家用,鋼筋混凝土造,78年11月4日,006,六層
RPOPMLRKMHKFFAU86CA,25,6.70,共有部份,鋼筋混凝土造,78年11月4日,006
RPUNMLTJMHKFFAU37CA,17,180.59,住家用,鋼筋混凝土造,87年6月30日,004,一層 二層 三層 四層
RPSNMLRJMHKFFBU07CA,31,74.87,住家用,鋼筋混凝土造,73年1月14日,004,二層
RPPNMLLMLHKFFCU09CA,14,95.55,住家用,見其他登記事項,90年1月9日,001,一層
RPTNMLOKMHKFFCU17DA,50,137.27,住家用,鋼筋混凝土加強磚造,54年5月1日,002,一層 二層 騎樓
RPTNMLOKMHKFFCU17DA,26,38.75,住家用,鋼筋混凝土加強磚造,77年11月7日,001,一層
RPRNMLMJMHKFFAU56EA,58,144.37,住工用,見其他登記事項,46年3月11日,001,一層
RPSOMLOJNHKFFAU07EA,25,115.72,住商用,鋼筋混凝土加強磚造,79年6月15日,002,一層 二層 騎樓
RPQNMLRJMHKFFCU96CA,28,78.07,住商用,鋼筋混凝土加強磚造,75年11月4日,002,騎樓 一層 二層
RPRNMLSJMHKFFCU17CA,41,78.20,住家用,鋼筋混凝土加強磚造,56年8月1日,002,一層 二層 騎樓
RPXOMLTJMHKFFAU77CA,31,143.38,住家用,鋼筋混凝土造,72年12月17日,002,一層 二層
RPWNMLSJMHKFFAU47CA,20,23.05,住家用,鋼筋混凝土造,84年9月19日,006,三層
RPWNMLSJMHKFFAU47CA,20,11.28,共有部份,鋼筋混凝土造,84年9月19日,006
RPSNMLOJNHKFFAU76CA,5,341.22,農舍,見其他登記事項,98年12月11日,002,一層 二層 見其他登記事項
RPUNMLLMLHKFFBU86CA,31,81.08,國民住宅,鋼筋混凝土造,73年1月14日,004,一層
RPUNMLLMLHKFFBU86CA,31,5.60,國民住宅,鋼筋混凝土造,73年1月14日,004
RPQOMLSLMHKFFAU17CA,15,91.30,住家用,鋼筋混凝土造,89年8月7日,012,十層
RPQOMLSLMHKFFAU17CA,15,23.59,共有部份,鋼筋混凝土造,89年8月7日,015
RPQOMLSLMHKFFAU17CA,15,.78,共有部份,鋼筋混凝土造,89年8月7日,015
RPQOMLSLMHKFFAU17CA,15,15.41,共有部份,鋼筋混凝土造,89年8月7日,012
RPPOMLLJMHKFFAU78CA,41,89.25,住家用,鋼筋混凝土加強磚造,62年10月13日,002,一層 二層
RPPPMLRJMHKFFAU86CA,21,49.28,住家用,鋼筋混凝土造,83年4月12日,007,六層
RPPPMLRJMHKFFAU86CA,21,14.26,共有部份,鋼筋混凝土造,83年4月23日,007
RPSOMLRJMHKFFAU07CA,31,78.98,住家用,鋼筋混凝土加強磚造,73年6月18日,002,一層 二層
RPSOMLMJMHKFFAU56CA,,211.71,住家用,鋼筋混凝土造,103年12月29日,004,一層 二層 三層 四層
RPSOMLMJMHKFFAU56CA,,14.82,共有部份,鋼筋混凝土造,103年12月29日,004
RPTOMLMJMHKFFAU66CA,,240.87,住家用,鋼筋混凝土造,103年12月29日,004,一層 二層 三層 四層
RPTOMLMJMHKFFAU66CA,,14.82,共有部份,鋼筋混凝土造,103年12月29日,004
