"縣市","鄉鎮市區","交易標的","土地區段位置或建物區門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","lat","lon"
"臺北市","北投區","房地(土地+建物)","臺北市北投區東華街一段555號",27.67,"商",NA,NA,10401,"土地1建物1車位0","二層",3,"公寓(5樓含以下無電梯)","住家用","加強磚造",620223,73.75,2,1,1,"有","無",2.3e+07,311864,"",0,0,25.113,121.51
"臺北市","北投區","房地(土地+建物)","臺北市北投區文化三路15號",38.2,"住",NA,NA,10401,"土地1建物1車位0","五層",8,"華廈(10層含以下有電梯)","國民住宅","鋼筋混凝土造",840110,139.53,3,2,2,"有","有",18300000,131155,"",0,0,25.137,121.49
"臺北市","北投區","房地(土地+建物)","臺北市北投區杏林二路15號",38.19,"住",NA,NA,10402,"土地3建物1車位0","五層",5,"公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700615,120.61,3,2,2,"有","無",9500000,78766,"",0,0,25.141,121.49
"臺北市","北投區","房地(土地+建物)","臺北市北投區大同街105號",61,"住",NA,NA,10402,"土地1建物1車位0","全",3,"透天厝","住家用","加強磚造",580805,174.21,2,3,3,"有","無",2.4e+07,137765,"",0,0,25.134,121.49
"臺北市","大安區","土地","",49,"其他",NA,NA,10403,"土地1建物0車位0","",NA,"其他","","",NA,0,0,0,0,"有","無",17700000,361224,"",0,0,NA,NA
"臺北市","大安區","房地(土地+建物)","臺北市大安區泰順街38巷15號",30.5,"住",NA,NA,10401,"土地1建物1車位0","三層",4,"公寓(5樓含以下無電梯)","住家用","加強磚造",NA,77.57,2,1,1,"有","無",15300000,197241,"",0,0,25.024,121.53
"臺北市","大安區","房地(土地+建物)","臺北市大安區永康街47巷15號",30.4,"住",NA,NA,10301,"土地1建物1車位0","一層",5,"店面(店鋪)","住家用","鋼筋混凝土造",710518,142.33,0,0,0,"無","無",47500000,333731,"",0,0,25.03,121.53
"臺北市","大安區","車位","臺北市大安區四維路192巷15號",0.37,"住",NA,NA,10403,"土地0建物0車位1","一層",13,"其他","見其他登記事項","鋼筋混凝土造",1020131,1.19,0,0,0,"有","有",1600000,NA,"塔式車位",0,1600000,25.036,121.54
"臺北市","大安區","房地(土地+建物)+車位","臺北市大安區信義路四段375號",19.38,"商",NA,NA,10312,"土地6建物1車位1","五層",15,"住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1001027,243.16,4,1,2,"有","有",2.3e+07,94588,"坡道平面",0,0,25.033,121.55
"臺北市","中正區","房地(土地+建物)","臺北市中正區和平西路二段15號",29.81,"住",NA,NA,10401,"土地1建物1車位0","五層",7,"華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",690815,156.88,4,1,2,"有","有",3.3e+07,210352,"",0,0,25.028,121.51
