編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLLMLHKFFAR56CA,,200.68,住家用,鋼筋混凝土造,103年10月16日,003,一層 二層 三層
RPVOMLLMLHKFFAR66CA,,95.12,住家用,鋼筋混凝土造,103年10月16日,003,一層 二層 三層
RPVOMLLMLHKFFAR66CA,,95.12,住家用,鋼筋混凝土造,103年10月16日,003,一層 二層 三層
RPWOMLLMLHKFFAR76CA,1,190.25,住家用,鋼筋混凝土造,103年10月16日,003,一層 二層 三層
RPXOMLLMLHKFFAR86CA,,85.08,住家用,鋼筋混凝土造,103年10月16日,003,一層 二層 三層
RPXOMLLMLHKFFAR86CA,,85.08,住家用,鋼筋混凝土造,103年10月16日,003,三層 一層 二層
RPPNMLTKLHKFFAR56CA,,218.40,住家用,鋼筋混凝土造,103年10月21日,003,一層 二層 三層 屋頂突出物
RPQNMLSKLHKFFAR56CA,24,21.65,住家用,鋼筋混凝土造,80年6月18日,006,四層
RPQNMLSKLHKFFAR56CA,24,7.86,共有部分,鋼筋混凝土造,80年6月18日,006
RPRNMLMJMHKFFCD47CA,22,21.33,住家用,鋼筋混凝土構造,81年8月13日,012,十二層
RPRNMLMJMHKFFCD47CA,22,6.56,共有部分,鋼筋混凝土構造,81年8月13日,012
RPRNMLMJMHKFFCD47CA,22,1.96,共有部分,鋼筋混凝土構造,81年8月13日,012
RPTOMLSLLHKFFCD48CA,31,69.66,見其他登記事項,鋼筋混凝土構造,72年8月20日,005,四層
RPTOMLSLLHKFFCD48CA,31,5.79,共有部分,鋼筋混凝土構造,72年8月20日,005
RPSNMLKMLHKFFCD57CA,,8.29,見其他登記事項,鋼筋混凝土構造,103年10月16日,007
RPSNMLKMLHKFFCD57CA,,67.14,見其他登記事項,鋼筋混凝土構造,103年10月16日,007,四層
RPSNMLKMLHKFFCD57CA,,54.30,見其他登記事項,鋼筋混凝土構造,103年10月16日,007
RPTOMLOLLHKFFCD08CA,47,68.40,住家用,見其他登記事項,57年1月30日,002,一層 二層
RPVOMLKLLHKFFCD87CA,25,16.32,住家用,鋼筋混凝土構造,78年12月20日,005,五層
RPPNMLTKLHKFFCD97CA,15,90.39,見其他登記事項,鋼筋混凝土構造,88年10月21日,013,十層
RPPNMLTKLHKFFCD97CA,15,31.51,共有部分,鋼筋混凝土構造,88年10月21日,013
RPPNMLTKLHKFFCD97CA,15,15.97,共有部分,鋼筋混凝土構造,88年10月21日,013
RPQNMLSKLHKFFCD97CA,30,106.94,住家用,鋼筋混凝土構造,74年6月12日,005,三層
RPQNMLSKLHKFFCD97CA,30,16.40,共有部分,鋼筋混凝土構造,74年6月12日,005
RPSNMLSKLHKFFCD18CA,19,23.22,住家用,鋼筋混凝土構造,84年11月6日,020,二十層
RPSNMLSKLHKFFCD18CA,19,4.94,共有部分,鋼筋混凝土構造,84年11月6日,020
RPSNMLSKLHKFFCD18CA,19,6.22,共有部分,鋼筋混凝土構造,84年11月6日,020
RPTNMLSKLHKFFCD28CA,31,80.95,住家用,鋼筋混凝土構造,73年1月18日,012,九層
RPTNMLSKLHKFFCD28CA,31,16.34,共有部分,鋼筋混凝土構造,73年1月18日,012
RPROMLMJMHKFFBD47CA,,184.09,見其他登記事項,鋼筋混凝土造,103年11月26日,004,一層 二層 三層 四層 屋頂突出物
RPROMLMJMHKFFBD47CA,,.67,見其他登記事項,鋼筋混凝土造,103年11月26日,004
RPPNMLTJMHKFFBD87CA,,155.60,住家用,鋼筋混凝土造,103年12月25日,003,一層 二層 三層 屋頂突出物
RPRNMLTJMHKFFBD08CA,,178.52,住家用,鋼筋混凝土造,103年12月25日,003,一層 二層 三層 屋頂突出物
RPSNMLTJMHKFFBD18CA,,155.60,住家用,鋼筋混凝土造,103年12月25日,003,一層 二層 三層 屋頂突出物
RPTNMLTJMHKFFBD28CA,,155.60,住家用,鋼筋混凝土造,103年12月25日,003,一層 二層 三層 屋頂突出物
RPWNMLNLLHKFFBD08CA,17,.22,見其他登記事項,鋼筋混凝土造,87年5月14日,013,一層
RPWNMLNLLHKFFBD08CA,17,.00,共有部分,鋼筋混凝土造,87年5月14日,013
RPWNMLNLLHKFFBD08CA,17,27.34,共有部分,鋼筋混凝土造,87年5月14日,013
RPWNMLNLLHKFFBD08CA,17,89.28,住家用,鋼筋混凝土造,87年5月14日,013,九層
RPWNMLNLLHKFFBD08CA,17,.43,共有部分,鋼筋混凝土造,87年5月14日,013
