編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPVNMLLMLHKFFBC77CA,忠義段四小段,1.50,都市：商
RPXNMLLMLHKFFBC97CA,長潭段,.55,都市：住
RPXNMLLMLHKFFBC97CA,長潭段,5.52,都市：住
RPRNMLLMLHKFFBC37CA,調和段,14.88,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,6822.05,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,1795.56,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,860.56,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,488.06,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,130.55,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,6302.51,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,15.26,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,5.04,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,4.78,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,4.27,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,2361.11,都市：其他
RPRNMLLMLHKFFBC37CA,調和段,307.39,都市：其他
RPPNMLLMLHKFFBC17CA,東信段一小段,35.04,都市：商
RPPNMLLMLHKFFBC17CA,東信段一小段,1.52,都市：其他
RPQNMLRLLHKFFBC77CA,祥豐段,.06,都市：住
RPQNMLRLLHKFFBC77CA,深美段,6.69,都市：住
RPQNMLRLLHKFFBC77CA,深美段,.04,都市：其他
RPQNMLRLLHKFFBC77CA,深美段,.35,都市：住
RPPNMLTLLHKFFBC87CA,深澳段,2.63,都市：住
RPQNMLLJMHKFFBC07CA,中央段四小段,22.50,都市：住
RPRNMLLJMHKFFBC17CA,港濱段,20.40,都市：住
RPRNMLLJMHKFFBC17CA,港濱段,1.00,都市：其他
RPPNMLMJMHKFFBC07CA,長潭段,.55,都市：住
RPPNMLMJMHKFFBC07CA,長潭段,5.52,都市：住
RPQOMLMJMHKFFBC27CA,調和段,13.45,都市：住
RPQNMLNKMHKFFBC37CA,長潭段,1.37,都市：住
RPQNMLNKMHKFFBC37CA,長潭段,13.66,都市：住
RPQNMLMJMHKFFCC27CA,工建段,129.00,都市：工
RPTNMLOKMHKFFBC77CA,調和段,19.10,都市：住
RPXNMLPKMHKFFBC28CA,港濱段,284.00,都市：住
RPXNMLPKMHKFFBC28CA,港濱段,34.00,都市：住
RPVNMLPKMHKFFCC18CA,大華段,26.21,都市：住
RPVNMLPKMHKFFCC18CA,大華段,.41,都市：其他
RPXNMLRLMHKFFCC68CA,友蚋段樟空湖小段,1537.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLRLMHKFFCC68CA,友蚋段樟空湖小段,228.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLRLMHKFFCC68CA,友蚋段樟空湖小段,296.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLRLMHKFFCC68CA,友蚋段樟空湖小段,1115.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLMJMHKFFCC57DA,友蚋段樟空湖小段,8.73,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLMJMHKFFCC57DA,友蚋段樟空湖小段,86.67,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLMJMHKFFCC57DA,友蚋段樟空湖小段,111.53,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLMJMHKFFCC57DA,友蚋段樟空湖小段,1229.87,非都市：山坡地保育區 ; 非都市編定：林業用地
RPSNMLMJMHKFFCC57DA,友蚋段樟空湖小段,101.20,非都市：山坡地保育區 ; 非都市編定：林業用地
RPSNMLMJMHKFFCC57DA,友蚋段樟空湖小段,47.40,非都市：山坡地保育區 ; 非都市編定：交通用地
RPSNMLMJMHKFFCC57DA,友蚋段樟空湖小段,630.87,非都市：山坡地保育區 ; 非都市編定：林業用地
RPSNMLMJMHKFFCC57DA,友蚋段樟空湖小段,12.27,非都市：山坡地保育區 ; 非都市編定：林業用地
RPSNMLMJMHKFFCC57DA,友蚋段樟空湖小段,164.53,非都市：山坡地保育區 ; 非都市編定：農牧用地
