編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLPKMHKFFAM78CA,31,133.34,住家用,鋼筋混凝土加強磚造,73年5月26日,002,一層 二層
RPRNMLOLLHKFFBM58CA,21,80.85,住家用,鋼筋混凝土造,83年1月11日,006,三層
RPRNMLOLLHKFFBM58CA,21,28.64,見其他登記事項,鋼筋混凝土造,83年1月11日,006
RPPNMLKKMHKFFBM97CA,37,93.30,住家用,鋼筋混凝土加強磚造,66年12月3日,003,一層 二層 三層
RPQNMLLJMHKFFBM08CA,33,170.27,住家用,加強磚造,71年2月13日,002,一層 二層 騎樓
RPXNMLRJMHKFFCM86CA,20,139.16,住家用,鋼筋混凝土造,84年5月5日,002,一層 二層 騎樓
RPVNMLQLLHKFFCM66CA,20,41.30,見其他登記事項,鋼筋混凝土造,83年10月13日,012,十二層
RPVNMLQLLHKFFCM66CA,20,20.74,見其他登記事項,鋼筋混凝土造,83年10月13日,012
RPUNMLOKMHKFFBM88CA,,261.10,見其他登記事項,鋼筋混凝土造,103年10月16日,003,一層 二層 三層 見其他登記事項
RPTNMLKLLHKFFDM58CA,9,170.42,見其他登記事項,鋼筋混凝土造,95年7月11日,004,一層 二層 三層 四層
RPPNMLKMLHKFFEM38CA,21,114.31,住商用,鋼筋混凝土造,83年3月10日,003,一層 二層 三層 騎樓
RPTNMLPLLHKFFEM66DA,43,49.35,住家用,鋼筋混凝土加強磚造,61年2月29日,001,一層
RPRNMLPLLHKFFDM88CA,10,101.28,見其他登記事項,見其他登記事項,94年6月6日,001,一層
RPVOMLKKMHKFFAM58CA,22,142.56,住家用,鋼筋混凝土造,81年12月29日,003,一層 二層 三層
RPTNMLPLLHKFFAM78CA,22,148.13,住家用,鋼筋混凝土造,81年12月5日,003,一層 二層 三層
RPWNMLQLLHKFFAM56CA,35,94.92,住家用,加強磚造,69年5月30日,002,一層 二層
RPPNMLQKMHKFFAM48CA,,208.05,住家用,鋼筋混凝土造,103年12月4日,004,一層 二層 三層 四層
RPROMLQKMHKFFAM78CA,21,63.57,住家用,鋼筋混凝土造,82年8月28日,006,五層
RPROMLQKMHKFFAM78CA,21,35.96,見其他登記事項,鋼筋混凝土造,82年8月28日,006
RPSOMLQKMHKFFAM88CA,,187.70,見其他登記事項,鋼筋混凝土造,103年12月4日,004,一層 二層 三層 四層 屋頂突出物
RPUNMLKMLHKFFBM58CA,16,147.49,住家用,鋼筋混凝土造,88年1月27日,003,一層 二層 三層 屋頂突出物
RPOOMLRJMHKFFCM68CA,10,113.34,見其他登記事項,鋼筋混凝土造,93年11月12日,010,五層
RPOOMLRJMHKFFCM68CA,10,41.10,見其他登記事項,鋼筋混凝土造,93年11月12日,010
RPTNMLRLLHKFFCM56CA,10,154.70,住家用,鋼筋混凝土造,93年10月1日,004,一層 二層 三層 四層
RPWNMLNKMHKFFCM09CA,,272.65,住家用,鋼筋混凝土造,103年9月15日,004,一層 二層 三層 四層 屋頂突出物
RPQNMLPLLHKFFEM88CA,35,252.72,住商用,鋼筋混凝土加強磚造,69年7月15日,003,一層 二層 三層 騎樓
RPPNMLPLLHKFFAM48DA,12,87.47,住家用,鋼筋混凝土造,92年8月19日,007,四層
RPPNMLPLLHKFFAM48DA,16,.18,見其他登記事項,鋼筋混凝土造,88年8月3日,002,一層 二層
RPPNMLPLLHKFFAM48DA,12,40.64,見其他登記事項,鋼筋混凝土造,92年8月19日,007
RPPNMLQLLHKFFAM58DA,35,82.26,住商用,鋼筋混凝土加強磚造,69年1月10日,002,一層 二層
RPQNMLQLLHKFFAM68DA,35,82.26,住商用,鋼筋混凝土加強磚造,69年1月10日,002,一層 二層
