鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
信義區,房地(土地+建物),臺北市信義區基隆路二段121~150號,5.64,商,,,10402,土地2建物1車位0,九層,12,辦公商業大樓,見使用執照,鋼筋混凝土造,0790119,58.49,1,1,1,有,有,9600000,164103,,0.0,0,有非自然身故情形之交易。,RPXPMLMJMHKFFDA08CA
信義區,車位,臺北市信義區信安街103巷1~30號,7.49,住,,,10403,土地0建物0車位2,一層,5,其他,見其他登記事項,鋼筋混凝土造,1020315,71.52,0,0,0,有,有,4750000,,坡道平面,71.04,4750000,,RPSOMLTJMHKFFDA18CA
南港區,房地(土地+建物)+車位,臺北市南港區三重里重陽路481~510號,121.37,住,,,10312,土地1建物1車位3,十八層,23,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1030618,535.2,0,0,0,無,有,125280000,234081,坡道平面,141.48,0,,RPTPMLKKMHKFFDA57CA
信義區,房地(土地+建物)+車位,臺北市信義區市民大道六段301~330號,49.96,商,,,10403,土地2建物1車位2,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031227,354.33000000000004,4,2,3,有,有,79880000,269033,坡道平面,76.0,5000000,,RPUOMLOKMHKFFDA97CA
信義區,房地(土地+建物)+車位,臺北市信義區市民大道六段301~330號,50.99,商,,,10403,土地2建物1車位3,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031227,394.34000000000003,4,2,3,有,有,93030000,302240,坡道平面,114.0,8300000,,RPUNMLLLMHKFFDA67CA
信義區,房地(土地+建物)+車位,臺北市信義區市民大道六段301~330號,49.96,商,,,10403,土地2建物1車位2,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031227,353.63,4,2,3,有,有,85000000,288153,坡道平面,76.0,5000000,,RPWNMLLLMHKFFDA87CA
士林區,房地(土地+建物),臺北市士林區雨聲街53巷1~30號,22.83,住,,,10312,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750311,102.92999999999999,4,2,2,有,有,18500000,179734,,0.0,0,1.價格含增建。2.內含獨立產權公設，未包含在棟數內。,RPQNMLRKLHKFFEA77CA
士林區,房地(土地+建物),臺北市士林區福港街241~270號,26.4,住,,,10402,土地1建物1車位0,一層,5,店面(店鋪),見使用執照,鋼筋混凝土造,0690110,161.09,1,0,2,有,無,22000000,136570,,0.0,0,1.價格含增建。,RPRNMLRKLHKFFEA87CA
北投區,房地(土地+建物),臺北市北投區同德街31~60號,29.11,住,,,10401,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730619,109.27000000000001,3,2,2,有,無,15500000,141850,,0.0,0,價格含增建。,RPSNMLRKLHKFFEA97CA
北投區,房地(土地+建物),臺北市北投區吉利街123巷1~30號,10.35,商,,,10402,土地1建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850925,63.71,2,1,1,有,有,10200000,160100,,0.0,0,價格含增建。,RPVNMLRKLHKFFEA28CA
士林區,土地,富安段一小段31~60地號,229.21,其他,,,10402,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12480000,54448,,0.0,0,,RPPOMLRKLHKFFEA77CA
士林區,車位,臺北市士林區環河北路三段91~120號,0.0,,,,10401,土地0建物0車位1,,,其他,,,,19.55,0,0,0,有,無,600000,,坡道機械,19.55,600000,單獨車位買賣、本棟建物型態為住宅大樓,RPWNMLTKLHKFFEA58CA
北投區,房地(土地+建物),臺北市北投區東華街一段541~570號,27.67,商,,,10401,土地1建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0620223,73.75,2,1,1,有,無,23000000,311864,,0.0,0,,RPOOMLTKLHKFFEA87CA
北投區,房地(土地+建物),臺北市北投區文化三路1~30號,38.2,住,,,10401,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0840110,139.53,3,2,2,有,有,18300000,131155,,0.0,0,,RPWQMLLMLHKFFEA28CA
北投區,房地(土地+建物),臺北市北投區杏林二路1~30號,38.19,住,,,10402,土地3建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700615,120.61,3,2,2,有,無,9500000,78766,,0.0,0,,RPQPMLSJMHKFFEA08CA
北投區,房地(土地+建物),臺北市北投區大同街91~120號,61.0,住,,,10402,土地1建物1車位0,全,3,透天厝,住家用,加強磚造,0580805,174.21,2,3,3,有,無,24000000,137765,,0.0,0,,RPVPMLSJMHKFFEA58CA
大安區,土地,學府段一小段61~90地號,49.0,其他,,,10403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17700000,361224,,0.0,0,,RPSNMLKLLHKFFFA47CA
大安區,房地(土地+建物),臺北市大安區泰順街38巷1~30號,30.5,住,,,10401,土地1建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,77.57,2,1,1,有,無,15300000,197241,,0.0,0,,RPPOMLKLLHKFFFA27CA
大安區,房地(土地+建物),臺北市大安區永康街47巷1~30號,30.4,住,,,10301,土地1建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0710518,142.32999999999998,0,0,0,無,無,47500000,333731,,0.0,0,,RPRNMLNLLHKFFFA67CA
大安區,車位,臺北市大安區四維路192巷1~30號,0.37,住,,,10403,土地0建物0車位1,一層,13,其他,見其他登記事項,鋼筋混凝土造,1020131,1.19,0,0,0,有,有,1600000,,塔式車位,0.0,1600000,,RPWNMLRJMHKFFFA48CA
大安區,房地(土地+建物)+車位,臺北市大安區信義路四段361~390號,19.38,商,,,10312,土地6建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001027,243.16000000000003,4,1,2,有,有,23000000,94588,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLKKMHKFFFA87CA
中正區,房地(土地+建物),臺北市中正區和平西路二段1~30號,29.81,住,,,10401,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690815,156.88,4,1,2,有,有,33000000,210352,,0.0,0,親友、員工或其他特殊關係間之交易。,RPROMLQKLHKFFAA57DA
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路211~240號,43.97,其他,,,10401,土地1建物1車位2,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990329,339.59000000000003,4,2,2,有,有,60500000,178156,坡道平面,54.36,0,,RPTPMLSKLHKFFCA28DA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段629巷33弄1~30號,32.4,住,,,10401,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701229,116.34,3,2,2,有,無,20300000,174489,,0.0,0,,RPQNMLLLLHKFFCA17DA
南港區,房地(土地+建物),臺北市南港區南港路三段106巷4弄1~30號,26.5,工,,,10402,土地1建物1車位0,一層，平台,4,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,,82.31,2,1,1,有,無,12000000,145790,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLRKLHKFFDA38DA
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段211~240號,20.72,商,,,10401,土地2建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940930,138.13,2,2,2,有,有,50880000,368349,坡道平面,29.92,0,,RPRNMLSKLHKFFDA97DA
信義區,房地(土地+建物),臺北市信義區虎林街212巷1~30號,38.0,住,,,10402,土地2建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0581114,86.55,3,2,1,有,無,14500000,167533,,0.0,0,,RPTNMLTKLHKFFDA28DA
信義區,房地(土地+建物),臺北市信義區吳興街156巷2弄1~30號,36.0,住,,,10312,土地2建物1車位0,四層，陽台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650127,104.2,3,2,2,有,無,19000000,182342,,0.0,0,,RPVNMLKLLHKFFDA67DA
信義區,房地(土地+建物),臺北市信義區林口街10巷31~60號,35.75,住,,,10402,土地2建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0581215,67.65,3,2,1,有,無,13150000,194383,,0.0,0,,RPSOMLPLLHKFFDA97DA
北投區,房地(土地+建物),臺北市北投區吉利街211~240號,27.31,住,,,10402,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690926,111.96,3,2,2,有,無,14950000,133530,,0.0,0,,RPPQMLQKLHKFFEA97DA
北投區,房地(土地+建物),臺北市北投區中央北路三段40巷43弄1~30號,47.39,住,,,10310,土地1建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850208,97.85,3,2,2,有,無,14100000,144098,,0.0,0,含增建或未登記建物。,RPQQMLQKLHKFFEA08DA
士林區,房地(土地+建物),臺北市士林區基河路1~30號,7.52,住,,,10401,土地2建物1車位0,八層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871211,48.25,1,1,1,有,有,11580000,240000,,0.0,0,,RPOOMLRKLHKFFEA77DA
士林區,房地(土地+建物),臺北市士林區光華路26巷1~30號,18.4,住,,,10312,土地2建物2車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670714,88.45,2,1,2,有,無,5000000,56529,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUOMLOKMHKFFEA18DA
大安區,房地(土地+建物)+車位,臺北市大安區仁愛路四段345巷15弄1~30號,37.78,住,,,10401,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750609,180.60999999999999,3,2,3,有,有,56000000,310060,坡道平面,29.38,0,,RPXNMLTKLHKFFFA88DA
大安區,房地(土地+建物),臺北市大安區基隆路二段121~150號,4.73,商,,,10312,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0941111,45.209999999999994,3,1,1,有,有,16500000,364964,,0.0,0,,RPQNMLSKLHKFFFA08DA
北投區,房地(土地+建物)+車位,臺北市北投區中山北路七段219巷3弄31~60號,38.99,住,,,10402,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730920,171.29,3,2,2,有,有,25050000,146243,坡道平面,0.0,0,,RPRNMLSKLHKFFEA08DA
士林區,房地(土地+建物),臺北市士林區延平北路五段163巷17弄1~30號,74.0,住,,,10403,土地1建物1車位0,全,,透天厝,住家用,磚造,0560115,113.06,4,2,2,有,無,14000000,123828,,0.0,0,含增建或未登記建物。,RPQOMLTKLHKFFEA18DA
北投區,土地,立農段一小段571~600地號,36.21,商,,,10401,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37400000,1032864,,0.0,0,,RPTNMLRKLHKFFEA18DA
信義區,房地(土地+建物),臺北市信義區永吉路331~360號,4.25,商,,,10312,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741113,41.449999999999996,3,2,2,有,有,2200000,53063,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLKKMHKFFDA07DA
松山區,房地(土地+建物),臺北市松山區南京東路五段286巷1~30號,13.29,住,,,10401,土地1建物1車位0,一層，平台,6,店面(店鋪),住家用,鋼筋混凝土造,0650609,70.0,1,1,1,有,有,21800000,311429,,0.0,0,,RPUOMLNLLHKFFDA97DA
